"id","treeID","creatorID","specID","easting","northing","height","DBH","remarks","plot"
969,"r00886","SBSF","BUR",477417.83,5632260.77,27,0.1,NA,"fs-014"
970,"r00887","SBSF","BUR",477418.33,5632260.77,27,0.1,NA,"fs-014"
971,"r00888","SBSF","HBU",477418.6,5632261.43,27,0.11,NA,"fs-014"
972,"r00889","dg","BUR",477417.64,5632085.89,NA,0.76,NA,"fs-031"
973,"r00890","SBSF","HBU",477418.81,5632262.14,27,0.08,NA,"fs-014"
974,"r00891","SBSF","HBU",477418.66,5632262.81,27,0.11,NA,"fs-014"
975,"r00892","SBSF","HBU",477414.64,5632265.56,27,0.1,NA,"fs-014"
976,"r00894","SBSF","HBU",477411.86,5632264.68,27,0.12,NA,"fs-014"
977,"r00895","SBSF","HBU",477411.33,5632269.36,27,0.09,NA,"fs-014"
978,"r00896","SBSF","HBU",477411.03,5632267.07,27,0.11,NA,"fs-014"
979,"r00897","SBSF","BUR",477410.57,5632266.05,27,0.08,NA,"fs-014"
980,"r00898","SBSF","HBU",477410.04,5632265.06,27,0.08,NA,"fs-014"
981,"r00899","SBSF","HBU",477410.01,5632264.33,27,0.11,NA,"fs-014"
982,"r00900","SBSF","HBU",477408.88,5632266.69,27,0.07,NA,"fs-014"
983,"r00902","SBSF","HBU",477407.94,5632267.71,27,0.08,NA,"fs-014"
984,"r00903","SBSF","HBU",477407.74,5632268.17,27,0.1,NA,"fs-014"
985,"r00905","SBSF","HBU",477407.9,5632267.48,27,0.1,NA,"fs-014"
986,"r00906","SBSF","BUR",477406.85,5632268.97,27,0.13,NA,"fs-014"
987,"r00907","SBSF","HBU",477407.87,5632265.63,27,0.09,"Totholz","fs-014"
988,"r00908","SBSF","BUR",477405.57,5632266.62,27,0.11,NA,"fs-014"
989,"r00909","SBSF","HBU",477404.93,5632267.79,27,0.09,NA,"fs-014"
990,"r00910","SBSF","HBU",477404.64,5632266.52,27,0.09,NA,"fs-014"
991,"r00912","SBSF","HBU",477405.22,5632265.82,27,0.07,NA,"fs-014"
992,"r00913","SBSF","HBU",477403.06,5632265.56,27,0.1,NA,"fs-014"
