"ID","treeID","creatorID","specID","easting","northing","height","DBH","remarks","plot","level"
718,"r00612","GHKLRRS","BUR",477264.12,5631898.15,7.8,0.09,NA,"fs-025",2
719,"r00613","GHKLRRS","BUR",477267.4,5631896.85,23.8,0.44,NA,"fs-025",5
720,"r00614","GHKLRRS","BUR",477267.59,5631895.78,11.9,0.12,NA,"fs-025",3
721,"r00615","GHKLRRS","BUR",477264.51,5631881.93,25.8,0.42,NA,"fs-025",6
722,"r00616","GHKLRRS","BUR",477261.1,5631881.43,9.6,0.1,NA,"fs-025",2
723,"r00617","GHKLRRS","BUR",477257.99,5631879.87,23.9,0.39,NA,"fs-025",5
724,"r00618","GHKLRRS","BUR",477260.21,5631884.81,12.9,0.14,NA,"fs-025",3
725,"r00619","GHKLRRS","DGL",477290.72,5632000.22,23.5,0.44,NA,"fs-026",5
726,"r00620","GHKLRRS","BUR",477292.38,5631989.83,22.7,0.36,NA,"fs-026",5
727,"r00621","GHKLRRS","BUR",477294.98,5631988.53,23.2,0.45,NA,"fs-026",5
728,"r00622","GHKLRRS","BUR",477288.49,5631985.26,22.1,0.47,NA,"fs-026",5
729,"r00623","GHKLRRS","BUR",477284.36,5631988.38,7.4,0.13,NA,"fs-026",2
730,"r00624","GHKLRRS","BUR",477283.57,5631988.61,22.9,0.34,NA,"fs-026",5
731,"r00625","GHKLRRS","BUR",477280.59,5631987.58,23.1,0.37,NA,"fs-026",5
732,"r00626","GHKLRRS","DGL",477284.31,5631995.9,18.8,0.31,NA,"fs-026",4
733,"r00627","GHKLRRS","BUR",477287.22,5631981.71,10.6,0.17,NA,"fs-026",3
734,"r00628","GHKLRRS","DGL",477284.56,5631997.6,23.2,0.42,NA,"fs-026",5
735,"r00629","GHKLRRS","DGL",477287.72,5631997.94,13.2,0.17,NA,"fs-026",3
736,"r00630","GHKLRRS","DGL",477288.54,5631999.46,3.5,0.11,"tot. abgeknickt","fs-026",1
737,"r00631","BHW","EIT",477658.03,5632256.26,9,0.15,NA,"fs-047",2
738,"r00632","BHW","BUR",477657.79,5632254.23,11,0.14,NA,"fs-047",3
739,"r00633","BHW","BUR",477658.46,5632254.26,13,0.15,NA,"fs-047",3
740,"r00634","BHW","BUR",477657.98,5632249.86,12,0.12,NA,"fs-047",3
741,"r00635","BHW","BUR",477660.06,5632255.71,11,0.11,NA,"fs-047",3
742,"r00636","BHW","EIT",477661.09,5632254.77,14,0.25,NA,"fs-047",3
743,"r00637","BHW","BUR",477662.07,5632254.97,14,0.1,NA,"fs-047",3
744,"r00638","BHW","BUR",477663.52,5632255.57,9,0.32,NA,"fs-047",2
745,"r00639","BHW","BUR",477661.56,5632263.58,19,0.13,NA,"fs-047",4
746,"r00641","DGLJS","BUR",477709.85,5632073.48,11.8,0.09,NA,"fs-030",3
747,"r00642","DGLJS","BUR",477710.15,5632070.34,11.8,0.09,NA,"fs-030",3
748,"r00643","DGLJS","BUR",477709.44,5632069.49,11.8,0.11,NA,"fs-030",3
749,"r00644","DGLJS","BUR",477709.55,5632067.59,11.8,0.12,NA,"fs-030",3
750,"r00645","DGLJS","BUR",477708.8,5632066.3,11.8,0.11,NA,"fs-030",3
751,"r00646","DGLJS","BUR",477706.41,5632068.3,11.8,0.1,NA,"fs-030",3
752,"r00647","DGLJS","BUR",477710.29,5632065.82,11.8,0.13,NA,"fs-030",3
753,"r00648","DGLJS","BUR",477711.58,5632064.34,11.8,0.11,NA,"fs-030",3
754,"r00649","DGLJS","BUR",477712.5,5632064.93,11.8,0.12,NA,"fs-030",3
755,"r00650","DGLJS","BUR",477713.3,5632069.09,11.8,0.09,NA,"fs-030",3
756,"r00651","DGLJS","BUR",477713.3,5632067.09,11.8,0.08,NA,"fs-030",3
757,"r00652","DGLJS","BUR",477714.08,5632065.12,11.8,0.1,NA,"fs-030",3
758,"r00653","DGLJS","BUR",477714.39,5632067.93,11.8,0.14,NA,"fs-030",3
759,"r00654","DGLJS","BUR",477716.77,5632066.66,11.8,0.15,NA,"fs-030",3
760,"r00655","DGLJS","BUR",477718.76,5632067.58,11.8,0.09,NA,"fs-030",3
761,"r00656","DGLJS","BUR",477720.66,5632069.84,11.8,0.1,NA,"fs-030",3
762,"r00657","DGLJS","BUR",477722.06,5632075.64,11.8,0.08,NA,"fs-030",3
763,"r00658","DGLJS","BUR",477716.64,5632078.07,11.8,0.12,NA,"fs-030",3
764,"r00659","DGLJS","BUR",477717.29,5632078.84,11.8,0.1,NA,"fs-030",3
765,"r00660","DGLJS","BUR",477718.51,5632080.29,11.8,0.08,NA,"fs-030",3
766,"r00661","DGLJS","BUR",477709.62,5632081.97,21.8,0.46,NA,"fs-030",5
767,"r00662","DGLJS","BUR",477708.61,5632079.68,21.8,0.19,NA,"fs-030",5
768,"r00663","DGLJS","BUR",477708.7,5632078.69,21.8,0.12,NA,"fs-030",5
769,"r00664","DGLJS","BUR",477706.53,5632076.55,21.8,0.22,NA,"fs-030",5
770,"r00665","DGLJS","FIG",477878.7,5632080.3,24,0.38,NA,"fs-028",5
771,"r00666","DGLJS","FIG",477877.39,5632081.2,24,0.25,NA,"fs-028",5
772,"r00667","DGLJS","FIG",477878.98,5632082.81,24,0.35,NA,"fs-028",5
773,"r00668","jk","FIG",477884.85,5632085.54,NA,0.4,NA,"fs-028",NA
774,"r00669","DGLJS","FIG",477885.41,5632078.78,24,0.3,NA,"fs-028",5
775,"r00670","DGLJS","FIG",477887.18,5632081.09,24,0.29,NA,"fs-028",5
776,"r00671","DGLJS","FIG",477889.74,5632079.72,24,0.16,NA,"fs-028",5
777,"r00672","DGLJS","FIG",477888.95,5632078.06,24,0.29,NA,"fs-028",5
778,"r00673","DGLJS","FIG",477890.6,5632073.88,24,0.3,"2019-03-19 umgefallen","fs-028",5
779,"r00674","DGLJS","FIG",477886.3,5632074.91,24,0.29,NA,"fs-028",5
780,"r00675","DGLJS","FIG",477888.78,5632070.8,24,0.38,NA,"fs-028",5
781,"r00676","DGLJS","FIG",477884.37,5632073.97,24,0.4,"2019-03-19 umgefallen","fs-028",5
782,"r00677","DGLJS","FIG",477886.11,5632069.66,24,0.35,NA,"fs-028",5
783,"r00678","DGLJS","FIG",477884.19,5632068.98,24,0.4,NA,"fs-028",5
784,"r00679","DGLJS","FIG",477882.28,5632073.85,24,0.21,"2019-03-19 umgefallen","fs-028",5
785,"r00682","SBSF","BUR",477536.12,5631786.86,14.8,0.13,NA,"fs-010",3
786,"r00683","SBSF","BUR",477534.76,5631788.13,39.2,0.21,NA,"fs-010",8
787,"r00684","SBSF","BUR",477537.79,5631789.74,37.7,0.44,NA,"fs-010",8
788,"r00685","SBSF","BUR",477542.7,5631790.1,44,0.24,NA,"fs-010",9
789,"r00686","SBSF","BUR",477546.51,5631785.67,43.7,0.57,NA,"fs-010",9
790,"r00687","SBSF","BUR",477547.05,5631781.23,6.4,0.17,NA,"fs-010",2
791,"r00688","SBSF","BUR",477536.1,5631781.48,42.2,0.47,NA,"fs-010",9
792,"r00689","SBSF","BUR",477533.28,5631783.92,31.9,0.22,NA,"fs-010",7
793,"r00690","jk","EIT",477832.55,5632244.19,NA,0.55,"Abt.1 oberhang","dm-003",NA
794,"r00691","jk","EIT",477498.51,5631738.52,NA,0.48,"Abt. 3 oberhang. neu ausgew‰hlt am 21.09.2018 jk und dg","dm-006",NA
796,"r00695","jk","BUR",477476.01,5631722.05,NA,0.44,"Abt. 3 oberhang","dm-006",NA
797,"r00696","jk","EIT",477481.67,5631716.35,NA,0.45,"Abt. 3 oberhang","dm-006",NA
798,"r00697","jk","EIT",477481.27,5631839.04,NA,0.33,"Abt. 3 mittelhang","dm-005",NA
799,"r00698","jk","BUR",477485.78,5631835.26,NA,0.42,"Abt. 3 mittelhang","dm-005",NA
800,"r00699","jk","BUR",477486.71,5631839.06,NA,0.42,"Abt. 3 mittelhang","dm-005",NA
